Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
786920,5902689331848,Dzwonki poczwórne - mosiądz,K12,R07,P01
786920N,5902689332166,Dzwonki poczwórne - mosiądz niklowany,K12,R07,P01
IB-20009,5902689354045,Kadzielnica - mosiądz,K12,R07,P02
JAK-1003,5902689354168,Pojemnik na olej Krzyżma - CHR,K12,R12,P02
CF-1003,5902689350153,Krzyż ołtarzowy - mosiądz,K12,R01,P03
78624N,5902689330469,Dzwonki poczwórne - mosiądz niklowany,K12,R09,P02
78628,5902689330476,Kadzielnica - mosiądz,K12,R07,P02
P76,5902689333323,Dzwonki potrójne - mosiądz,K12,R03,P01
TG-1002,5902689336577,Szczypce do węgla - mosiądz,K12,R11,P02
P-1002B,5902689359798,Patena - mosiądz,K12,R11,P03
P111,5902689359859,Dzwonki poczwórne - mosiądz niklowany,K12,R03,P04
P85,5902689333408,Dzwonki poczwórne - mosiądz,K12,R05,P04
P117,5902689332654,Figura - anioł - mosiądz,K12,R05,P04
P87,5902689350931,Dzwonki - mosiądz,K12,R03,P01
P103,5902689332579,Koszyk na kolektę - aluminium,K12,R03,P03
P104,5902689359842,Koszyk na kolektę - aluminium,K12,R03,P03
P52,5902689333132,Kadzielnica - mosiądz,K12,R03,P04
P68,5902689333248,Dzwonek - mosiądz,K12,R05,P02
JAK-1018N,5902689336904,Kropidło - mosiądz niklowany,K12,R10,P02
JAK-1019,5902689336911,Kropidło - mosiądz,K12,R10,P02
HWF-1009M,5902689353840,Misa - stal szlachetna,K12,R08,P03
HWF-1033,5902689353970,Płaskorzeźba - mosiądz,K12,R07,P03
78611N,5902689330278,Dzwonki poczwórne - mosiądz niklowany,K12,R03,P02
A565N,5902689358623,Dzwonki poczwórne - mosiądz niklowany,K12,R09,P02
A821,5902689335976,Wieszak na puryfikaterz - vasculum,K12,R01,P04
PY-1002C,5902689360213,Pojemnik na komunikanty - mosiądz - masa perłowa,K12,R09,P03
PY-1002A,5902689360190,Pojemnik na komunikanty - mosiądz - dekorowany mas,K12,R09,P03
PY-1011A,5902689335051,Pojemnik na koncelebrę - mosiądz,K12,R09,P03
OS-1007,5902689359675,Pojemniki na oleje święte - set - pozłacany,K12,R10,P02
P-1001D,5902689359781,Patena - mosiądz,K12,R11,P03
CAS-1001,5902689336645,Gasidełko - mosiądz - drewniana rączka,K12,R02,P02
PY-1008B,5902689337017,Pojemnik na hostie - mosiądz,K12,R09,P03
HWF-1038,5902689336966,Dzbanek - taca - mosiądz,K12,R04,P03
CBM-1016,5902689336829,Cyborium - mosiądz - pozacane,K12,R06,P03
C-1003,,Kielich - pozlacany,K12,R06,P03
C-1003N,,Kielich - pozlacany,K12,R06,P03
PO-36,5905805902397,Kadzielnica - mosiądz,K12,R05,P03
PO-35,5905805902380,Kadzielnica - mosiądz,K12,R05,P02
PO-37,5905805902403,Kadzielnica - mosiądz,K12,R05,P03
P161,5902689392115,Sygnaturka - mosiądz - dzwonek wiszący,K12,R05,P02
P157,5902689392078,Taca - podstawka pod ampułki - mosiądz,K12,R10,P02
P167,5902689392184,Dzwonki potrójne - mosiądz,K12,R05,P02
P168,5902689392191,Dzwonki poczwórne - mosiądz,K12,R01,P04
REL-1004,5902689386077,Naczynie na relikwie - mosiądz,K12,R10,P02
HMCCS039,5902689392337,"Lichtarz - mosiądz - 11,5 cm",K12,R01,P03
P91,5902689377501,Dzwonek - mosiądz,K12,R07,P03
